Datetime,January,February,March,April,May,June,July,August,September,October,November,December,day,Sunday,Monday,Thuesday,Wednesday,Thursday,Friday,Saturday,Volume,Open,High,Low,Close
2010-05-31 17:30:00,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,1,91.217,91.217,91.217,91.217
2010-05-31 17:40:00,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,37,91.219,91.245,91.219,91.230
2010-05-31 17:50:00,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,78,91.226,91.226,91.163,91.176
2010-05-31 18:00:00,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,69,91.173,91.230,91.159,91.230
2010-05-31 18:10:00,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,130,91.228,91.258,91.216,91.240
2010-05-31 18:20:00,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,29,91.242,91.262,91.230,91.238
2010-05-31 18:30:00,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,151,91.236,91.236,91.118,91.166
2010-05-31 18:40:00,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,45,91.168,91.206,91.166,91.198
2010-05-31 18:50:00,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,38,91.194,91.208,91.184,91.208
2010-05-31 19:00:00,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,55,91.206,91.210,91.172,91.200
2010-05-31 19:10:00,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,161,91.202,91.223,91.124,91.161
2010-05-31 19:20:00,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,54,91.163,91.163,91.137,91.146
2010-05-31 19:30:00,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,54,91.149,91.187,91.149,91.169
2010-05-31 19:40:00,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,130,91.167,91.241,91.166,91.201
2010-05-31 19:50:00,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,119,91.203,91.205,91.145,91.155
2010-05-31 20:00:00,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,649,91.157,91.164,90.989,91.060
2010-05-31 20:10:00,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,238,91.058,91.107,91.023,91.099
2010-05-31 20:20:00,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,219,91.096,91.128,91.034,91.037
2010-05-31 20:30:00,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,362,91.035,91.088,90.994,91.047
2010-05-31 20:40:00,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,404,91.044,91.084,90.987,91.027
2010-05-31 20:50:00,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,669,91.025,91.025,90.886,90.959
2010-05-31 21:00:00,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,312,90.957,91.014,90.928,90.970
2010-05-31 21:10:00,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,231,90.968,91.032,90.965,91.024
2010-05-31 21:20:00,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,318,91.021,91.108,91.016,91.056
2010-05-31 21:30:00,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,542,91.059,91.164,91.057,91.062
2010-05-31 21:40:00,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,303,91.065,91.073,90.962,91.003
2010-05-31 21:50:00,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,199,91.001,91.031,90.978,91.018
2010-06-30 10:50:00,0,0,0,0,0,1,0,0,0,0,0,0,30,0,0,0,0,0,0,0,591,88.636,88.664,88.474,88.478
2010-06-30 11:00:00,0,0,0,0,0,1,0,0,0,0,0,0,30,0,0,0,0,0,0,0,614,88.480,88.536,88.418,88.452
2010-06-30 11:10:00,0,0,0,0,0,1,0,0,0,0,0,0,30,0,0,0,0,0,0,0,346,88.454,88.584,88.452,88.522
2010-06-30 11:20:00,0,0,0,0,0,1,0,0,0,0,0,0,30,0,0,0,0,0,0,0,297,88.526,88.558,88.496,88.540
