Datetime,hour_range,day,Volume,Open,High,Low,Close
2020-07-02 22:00,22,2,379,107.524,107.536,107.492,107.532
2020-07-02 23:00,23,2,449,107.530,107.544,107.485,107.503
2020-07-03 00:00,0,3,2042,107.502,107.564,107.437,107.510
2020-07-03 01:00,1,3,2009,107.508,107.548,107.493,107.544
2020-07-03 02:00,2,3,1332,107.545,107.570,107.502,107.520
2020-07-03 03:00,3,3,1237,107.520,107.534,107.484,107.494
2020-07-03 04:00,4,3,1074,107.495,107.538,107.472,107.516
2020-07-03 05:00,5,3,1132,107.517,107.537,107.487,107.502
2020-07-03 06:00,6,3,1913,107.500,107.534,107.478,107.497
2020-07-03 07:00,7,3,2204,107.496,107.512,107.470,107.480
2020-07-03 08:00,8,3,1587,107.482,107.496,107.448,107.465
2020-07-03 09:00,9,3,1414,107.464,107.492,107.458,107.480
2020-07-03 10:00,10,3,1844,107.479,107.530,107.472,107.494
2020-07-03 11:00,11,3,1696,107.496,107.528,107.474,107.528
2020-07-03 12:00,12,3,1441,107.528,107.534,107.504,107.515
2020-07-03 13:00,13,3,1155,107.516,107.517,107.497,107.504
2020-07-03 14:00,14,3,1823,107.506,107.534,107.490,107.528
2020-07-03 15:00,15,3,756,107.529,107.534,107.506,107.523
2020-07-03 16:00,16,3,515,107.524,107.538,107.506,107.508
